"race_id","date","venue","race_no","config","surface","distance","going","horse_ratings","prize","race_class","sec_time1","sec_time2","sec_time3","sec_time4","sec_time5","sec_time6","sec_time7","time1","time2","time3","time4","time5","time6","time7","place_combination1","place_combination2","place_combination3","place_combination4","place_dividend1","place_dividend2","place_dividend3","place_dividend4","win_combination1","win_dividend1","win_combination2","win_dividend2"
0,"1997-06-02","ST",1,"A",0,1400,"GOOD TO FIRM","40-15",485000,5,13.53,21.59,23.94,23.58,NA,NA,NA,13.53,35.12,59.06,82.64,NA,NA,NA,8,11,6,NA,36.5,25.5,18,NA,8,121,NA,NA
1,"1997-06-02","ST",2,"A",0,1200,"GOOD TO FIRM","40-15",485000,5,24.05,22.64,23.7,NA,NA,NA,NA,24.05,46.69,70.39,NA,NA,NA,NA,5,13,4,NA,12.5,47,33.5,NA,5,23.5,NA,NA
2,"1997-06-02","ST",3,"A",0,1400,"GOOD TO FIRM","60-40",625000,4,13.77,22.22,24.88,22.82,NA,NA,NA,13.77,35.99,60.87,83.69,NA,NA,NA,11,1,13,NA,23,23,59.5,NA,11,70,NA,NA
3,"1997-06-02","ST",4,"A",0,1200,"GOOD TO FIRM","120-95",1750000,1,24.33,22.47,22.09,NA,NA,NA,NA,24.33,46.8,68.89,NA,NA,NA,NA,5,3,10,NA,14,24.5,16,NA,5,52,NA,NA
4,"1997-06-02","ST",5,"A",0,1600,"GOOD TO FIRM","60-40",625000,4,25.45,23.52,23.31,23.56,NA,NA,NA,25.45,48.97,72.28,95.84,NA,NA,NA,2,10,1,NA,15.5,28,17.5,NA,2,36.5,NA,NA
5,"1997-06-02","ST",6,"A",0,1200,"GOOD TO FIRM","60-40",625000,4,23.47,22.48,23.25,NA,NA,NA,NA,23.47,45.95,69.2,NA,NA,NA,NA,9,14,8,NA,16.5,408,70,NA,9,61,NA,NA
6,"1997-06-02","ST",7,"A",0,1400,"GOOD TO FIRM","100-80",1150000,2,13.75,21.61,22.81,23.34,NA,NA,NA,13.75,35.36,58.17,81.51,NA,NA,NA,5,7,6,NA,41.5,21.5,79,NA,5,160.5,NA,NA
7,"1997-06-02","ST",8,"A",0,1000,"GOOD TO FIRM","100-80",1150000,2,13.55,20.56,22.44,NA,NA,NA,NA,13.55,34.11,56.55,NA,NA,NA,NA,13,3,8,NA,23.5,44.5,18,NA,13,70.5,NA,NA
8,"1997-06-02","ST",9,"A",0,1400,"GOOD TO FIRM","80-60",850000,3,13.31,22.2,23.92,23.16,NA,NA,NA,13.31,35.51,59.43,82.59,NA,NA,NA,7,5,2,NA,12.5,16.5,33.5,NA,7,24,NA,NA
9,"1997-06-02","ST",10,"A",0,1200,"GOOD TO FIRM","80-60",850000,3,24.08,23.45,22.66,NA,NA,NA,NA,24.08,47.53,70.19,NA,NA,NA,NA,1,13,6,NA,49.5,45.5,14,NA,1,203,NA,NA
10,"1997-06-04","HV",1,"A",0,1650,"GOOD TO FIRM","40-15",485000,5,27.53,25.12,24.16,24.48,NA,NA,NA,27.53,52.65,76.81,101.29,NA,NA,NA,2,7,1,NA,18.5,27.5,15,NA,2,50,NA,NA
11,"1997-06-04","HV",2,"A",0,1650,"GOOD TO FIRM","60-40",625000,4,27.67,23.89,25.42,23.86,NA,NA,NA,27.67,51.56,76.98,100.84,NA,NA,NA,2,9,4,NA,23.5,18,26.5,NA,2,59,NA,NA
12,"1997-06-04","HV",3,"A",0,1200,"GOOD TO FIRM","60-40",625000,4,23.92,23.11,23.38,NA,NA,NA,NA,23.92,47.03,70.41,NA,NA,NA,NA,1,6,7,NA,14,23,15.5,NA,1,35,NA,NA
13,"1997-06-04","HV",4,"A",0,1000,"GOOD TO FIRM","60-40",625000,4,12.8,21.66,23.1,NA,NA,NA,NA,12.8,34.46,57.56,NA,NA,NA,NA,1,5,8,NA,17.5,10.1,17.5,NA,1,70,NA,NA
14,"1997-06-04","HV",5,"A",0,1650,"GOOD TO FIRM","60-40",625000,4,27.73,24.89,24.66,23.55,NA,NA,NA,27.73,52.62,77.28,100.83,NA,NA,NA,12,3,10,NA,91,34,22,NA,12,265.5,NA,NA
15,"1997-06-04","HV",6,"A",0,1000,"GOOD TO FIRM","80-60",850000,3,12.84,21.5,22.83,NA,NA,NA,NA,12.84,34.34,57.17,NA,NA,NA,NA,8,2,4,NA,20,80,42.5,NA,8,66,NA,NA
16,"1997-06-04","HV",7,"A",0,1650,"GOOD TO FIRM","80-60",850000,3,27.5,22.83,25,24.99,NA,NA,NA,27.5,50.33,75.33,100.32,NA,NA,NA,11,8,7,NA,15.5,35,15.5,NA,11,56,NA,NA
17,"1997-06-04","HV",8,"A",0,1200,"GOOD TO FIRM","100-80",1150000,2,24.02,22.53,23.45,NA,NA,NA,NA,24.02,46.55,70,NA,NA,NA,NA,1,7,11,NA,15.5,20.5,28,NA,1,33.5,NA,NA
18,"1997-06-08","ST",1,"A+3",0,1000,"GOOD TO FIRM","60-40",625000,4,13.25,20.8,22.84,NA,NA,NA,NA,13.25,34.05,56.89,NA,NA,NA,NA,3,5,1,NA,40,13,34.5,NA,3,141,NA,NA
19,"1997-06-08","ST",2,"A+3",0,1600,"GOOD TO FIRM","60-40",625000,4,24.83,23.28,23.59,23.5,NA,NA,NA,24.83,48.11,71.7,95.2,NA,NA,NA,7,10,1,NA,28,21.5,21,NA,7,106,NA,NA
20,"1997-06-08","ST",3,"A+3",0,1000,"GOOD TO FIRM","80-60",850000,3,13.38,20.88,22.32,NA,NA,NA,NA,13.38,34.26,56.58,NA,NA,NA,NA,9,8,3,NA,35.5,38,38.5,NA,9,181,NA,NA
21,"1997-06-08","ST",4,"A",1,1200,"GOOD","60-40",625000,4,23.98,22.11,23.64,NA,NA,NA,NA,23.98,46.09,69.73,NA,NA,NA,NA,5,6,1,NA,20,17.5,34,NA,5,70,NA,NA
22,"1997-06-08","ST",5,"A+3",0,1400,"GOOD TO FIRM","40-15",485000,5,13.86,22.47,23.23,23.44,NA,NA,NA,13.86,36.33,59.56,83,NA,NA,NA,9,6,3,NA,19,21.5,33.5,NA,9,46,NA,NA
23,"1997-06-08","ST",6,"A+3",0,1400,"GOOD TO FIRM","60-40",625000,4,13.69,23.2,23.53,22.85,NA,NA,NA,13.69,36.89,60.42,83.27,NA,NA,NA,2,3,12,NA,18.5,13.5,52.5,NA,2,63,NA,NA
24,"1997-06-08","ST",7,"A+3",0,1600,"GOOD TO FIRM","95-75",1150000,2,25.67,25.45,23.38,21.97,NA,NA,NA,25.67,51.12,74.5,96.47,NA,NA,NA,8,1,2,NA,12.5,21.5,36,NA,8,26.5,NA,NA
25,"1997-06-08","ST",8,"A",1,1200,"GOOD","80-60",850000,3,23.78,22.66,22.96,NA,NA,NA,NA,23.78,46.44,69.4,NA,NA,NA,NA,9,5,7,NA,12.5,30,32,NA,9,25.5,NA,NA
26,"1997-06-08","ST",9,"A+3",0,1400,"GOOD TO FIRM","115-90",1750000,1,13.52,22.91,22.95,22.42,NA,NA,NA,13.52,36.43,59.38,81.8,NA,NA,NA,3,9,6,NA,17.5,22,18.5,NA,3,59,NA,NA
27,"1997-06-08","ST",10,"A+3",0,1400,"GOOD TO FIRM","85-60",850000,3,13.75,22.06,23.89,22.95,NA,NA,NA,13.75,35.81,59.7,82.65,NA,NA,NA,5,4,6,NA,31,21.5,32.5,NA,5,147.5,NA,NA
