day,algae,rotifier
1,1.5,NA
2,0.82,6.58
3,0.77,17.94
4,0.36,17.99
5,0.41,21.12
6,0.41,17.06
7,0.9,17
8,0.29,36.15
9,0.72,19.84
10,0.46,30.82
11,0.24,15.33
12,NA,NA
13,0.52,8.48
14,0.62,23.08
15,0.32,23.73
16,0.67,18.72
17,0.26,26.67
18,0.45,7.85
19,1.64,19.7
20,0.6,23.8
21,0.27,27.89
22,1.26,18.88
23,1.01,23.39
24,0.25,27.64
25,0.3,37.77
26,0.94,11.22
27,0.63,23.68
28,1.2,21.26
29,0.2,33.66
30,0.34,15.2
31,0.46,17.58
32,0.64,11.43
33,0.76,13.64
34,0.55,22.43
35,0.6,23.28
36,1.21,29.9
37,0.39,54.07
38,0.08,36.61
39,0.24,6.01
40,1.01,9.02
41,1.35,11.04
42,0.67,27.56
43,0.43,33.17
44,0.36,23.9
45,0.41,13.28
46,0.78,11.76
47,0.88,10.82
48,1.05,51.07
49,0.29,40.94
50,0.66,32.89
51,0.3,16.13
52,0.22,12.85
53,0.39,9.45
54,1.52,13.08
55,0.99,34.92
56,0.25,41.4
57,0.28,24.96
58,0.75,23.05
59,0.5,25.82
60,0.36,34.24
61,0.63,53.04
62,0.11,51.1
63,0.1,27.23
64,0.57,5.67
65,0.57,37.54
66,0.66,42.2
67,0.36,36.62
68,0.44,20.08
69,0.2,17.27
70,0.45,17.46
71,0.94,23.38
72,0.41,41.54
73,0.22,25.36
74,0.53,19.09
75,0.8,39.04
76,0.18,39.46
77,0.1,20.83
78,0.35,13.11
79,0.76,15.72
80,0.59,25.68
81,0.57,35.85
82,0.41,47.45
83,0.35,47.53
84,0.29,42.7
85,0.33,32.01
86,0.32,30.1
87,0.3,28.61
88,0.29,23.66
89,0.32,23.01
90,0.4,20.62
91,0.85,25.88
92,0.24,41.91
93,0.31,39.86
94,0.35,13.11
95,0.35,17.1
96,1,20.68
97,0.32,38.93
98,0.22,21.33
99,0.31,21.12
100,0.28,17.41
101,0.23,8.05
102,0.36,5.76
103,0.81,6.5
104,0.78,23.3
105,0.6,17.29
106,0.26,35.23
107,0.21,24.41
108,0.23,15.96
109,0.31,11.73
110,0.51,14.34
111,0.54,20.67
112,0.44,30.67
113,0.52,29.94
114,0.24,25.91
115,0.17,23.7
116,0.27,9.04
117,0.62,8.38
118,0.81,27.35
119,0.29,42.05
120,0.25,35.7
121,0.4,26.83
122,0.28,23.8
123,0.37,19.19
124,1.52,28.01
125,0.56,76.64
126,0.19,58.87
127,0.19,32.37
128,0.4,15.39
129,0.3,22.66
130,0.4,23.43
131,0.88,34.83
132,0.26,42.4
133,0.44,30.45
134,0.46,43.57
135,0.5,51.83
136,0.27,39.7
137,0.35,16.24
138,0.66,28.48
139,0.2,36.34
140,0.17,36.72
141,0.17,50.09
142,0.11,76.41
143,0.31,41.48
144,0.36,27.71
145,0.72,45.96
146,0.81,42.76
147,0.99,19.85
148,0.76,12.46
149,0.59,15.73
150,0.4,28.52
151,0.41,27.01
152,0.54,16
153,0.24,41.64
154,0.52,46.95
155,NA,NA
156,0.23,22.42
157,0.29,12.98
158,0.49,18.95
159,0.14,36.12
160,0.33,49.36
161,0.26,41.9
162,0.14,11.24
163,0.18,9.43
164,0.42,19.82
165,0.53,29.46
166,0.81,53.16
167,0.17,56.91
168,0.15,33.63
