"race_id","horse_no","horse_id","result","won","lengths_behind","horse_age","horse_country","horse_type","horse_rating","horse_gear","declared_weight","actual_weight","draw","position_sec1","position_sec2","position_sec3","position_sec4","position_sec5","position_sec6","behind_sec1","behind_sec2","behind_sec3","behind_sec4","behind_sec5","behind_sec6","time1","time2","time3","time4","time5","time6","finish_time","win_odds","place_odds","trainer_id","jockey_id"
0,1,3917,10,0,8,3,"AUS","Gelding",60,"--",1020,133,7,6,4,6,10,NA,NA,2,2,1.5,8,NA,NA,13.85,21.59,23.86,24.62,NA,NA,83.92,9.7,3.7,118,2
0,2,2157,8,0,5.75,3,"NZ","Gelding",60,"--",980,133,12,12,13,13,8,NA,NA,6.5,9,5,5.75,NA,NA,14.57,21.99,23.3,23.7,NA,NA,83.56,16,4.9,164,57
0,3,858,7,0,4.75,3,"NZ","Gelding",60,"--",1082,132,8,3,2,2,7,NA,NA,1,1,0.75,4.75,NA,NA,13.69,21.59,23.9,24.22,NA,NA,83.4,3.5,1.5,137,18
0,4,1853,9,0,6.25,3,"SAF","Gelding",60,"--",1118,127,13,8,8,11,9,NA,NA,3.5,5,3.5,6.25,NA,NA,14.09,21.83,23.7,24,NA,NA,83.62,39,11,80,59
0,5,2796,6,0,3.75,3,"GB","Gelding",60,"--",972,131,14,13,12,12,6,NA,NA,7.75,8.75,4.25,3.75,NA,NA,14.77,21.75,23.22,23.5,NA,NA,83.24,50,14,9,154
0,6,3296,3,0,1.25,3,"NZ","Gelding",60,"--",1114,127,5,11,11,5,3,NA,NA,5,7.75,1.25,1.25,NA,NA,14.33,22.03,22.9,23.57,NA,NA,82.83,7,1.8,54,34
0,7,911,12,0,9.5,3,"NZ","Gelding",60,"--",978,123,11,1,1,1,12,NA,NA,0.75,1,0.75,9.5,NA,NA,13.53,21.59,23.94,25.09,NA,NA,84.15,99,28,55,149
0,8,2170,1,1,0,3,"AUS","Gelding",60,"--",1170,128,2,9,9,10,1,NA,NA,3.75,5.5,3.25,0.75,NA,NA,14.13,21.87,23.58,23.06,NA,NA,82.64,12,3.6,47,183
0,9,1730,13,0,9.75,3,"NZ","Gelding",60,"--",1126,123,6,2,3,3,13,NA,NA,0.75,1.5,1.25,9.75,NA,NA,13.65,21.71,23.9,24.94,NA,NA,84.2,38,13,75,131
0,10,2998,14,0,999,3,"AUS","Mare",60,"--",1072,125,9,14,14,14,14,NA,NA,9.5,14,16.75,999,NA,NA,15.05,22.31,24.38,30.46,NA,NA,92.2,39,12,109,145
0,11,1733,2,0,0.75,3,"NZ","Gelding",60,"--",1135,123,3,7,7,4,2,NA,NA,2.75,3.75,1.25,0.75,NA,NA,13.97,21.75,23.54,23.51,NA,NA,82.77,8.6,2.5,4,155
0,12,2617,4,0,2.25,3,"AUS","Gelding",60,"--",1018,123,10,10,10,9,4,NA,NA,4.5,6.5,2.5,2.25,NA,NA,14.25,21.91,23.3,23.52,NA,NA,82.98,23,8.5,7,115
0,13,727,11,0,8.25,3,"USA","Gelding",60,"--",1089,120,1,5,6,8,11,NA,NA,1.75,3,2.25,8.25,NA,NA,13.81,21.79,23.82,24.52,NA,NA,83.94,5.4,1.7,128,138
0,14,306,5,0,2.75,3,"AUS","Gelding",60,"--",1027,113,4,4,5,7,5,NA,NA,1.5,2.5,2.25,2.75,NA,NA,13.77,21.75,23.9,23.66,NA,NA,83.08,11,3.9,38,162
1,1,2397,12,0,10,3,"NZ","Gelding",60,"--",1078,128,9,11,13,12,NA,NA,NA,6,7.75,10,NA,NA,NA,25.01,22.92,24.05,NA,NA,NA,71.98,14,4.2,47,149
1,2,4181,10,0,6.75,3,"NZ","Gelding",60,"--",1257,132,8,12,11,10,NA,NA,NA,6.25,7.5,6.75,NA,NA,NA,25.05,22.84,23.58,NA,NA,NA,71.47,28,8.5,98,64
1,3,2814,8,0,3.75,3,"AUS","Horse",60,"--",1037,130,5,8,9,8,NA,NA,NA,4.5,6.25,3.75,NA,NA,NA,24.77,22.92,23.29,NA,NA,NA,70.98,7,1.7,75,183
1,4,905,3,0,2.25,3,"AUS","Gelding",60,"--",1168,126,11,14,14,3,NA,NA,NA,6.75,8,2.25,NA,NA,NA,25.13,22.84,22.75,NA,NA,NA,70.72,12,3.3,29,18
1,5,3915,1,1,0,3,"AUS","Gelding",60,"--",1148,125,10,5,4,1,NA,NA,NA,3,4,1.25,NA,NA,NA,24.53,22.8,23.06,NA,NA,NA,70.39,2.3,1.2,118,2
1,6,3865,11,0,8.5,3,"NZ","Gelding",60,"--",1057,121,2,4,5,11,NA,NA,NA,1.75,4.75,8.5,NA,NA,NA,24.33,23.12,24.32,NA,NA,NA,71.77,28,6.3,54,34
1,7,1926,14,0,21.75,3,"NZ","Gelding",60,"--",1064,122,13,13,12,14,NA,NA,NA,6.5,7.5,21.75,NA,NA,NA,25.09,22.8,26,NA,NA,NA,73.89,13,3.3,55,138
1,8,2330,5,0,2.75,3,"NZ","Gelding",60,"--",1132,117,7,3,3,5,NA,NA,NA,1.75,3.25,2.75,NA,NA,NA,24.33,22.88,23.59,NA,NA,NA,70.8,43,11,138,59
1,9,3744,9,0,6.25,3,"NZ","Gelding",60,"--",1081,121,12,9,10,9,NA,NA,NA,4.75,7,6.25,NA,NA,NA,24.81,23,23.6,NA,NA,NA,71.41,14,4.8,80,154
1,10,2772,4,0,2.5,3,"AUS","Gelding",60,"--",1059,121,1,6,6,4,NA,NA,NA,3.5,5.25,2.5,NA,NA,NA,24.61,22.92,23.23,NA,NA,NA,70.76,10,2.6,109,145
1,11,550,13,0,13.5,3,"USA","Gelding",60,"--",1106,118,14,7,8,13,NA,NA,NA,4.25,6.25,13.5,NA,NA,NA,24.73,22.96,24.85,NA,NA,NA,72.54,50,15,128,151
1,12,4244,7,0,3.25,3,"AUS","Gelding",60,"--",1095,103,3,1,1,7,NA,NA,NA,0.15,0.25,3.25,NA,NA,NA,24.05,22.64,24.18,NA,NA,NA,70.87,21,7.4,38,40
1,13,3605,2,0,1.25,3,"AUS","Gelding",60,"--",1060,113,6,2,2,2,NA,NA,NA,0.15,0.25,1.25,NA,NA,NA,24.05,22.68,23.83,NA,NA,NA,70.56,13,4.7,132,162
1,14,2813,6,0,2.75,3,"AUS","Brown",60,"--",1110,108,4,10,7,6,NA,NA,NA,5,6,2.75,NA,NA,NA,24.85,22.8,23.16,NA,NA,NA,70.81,47,16,137,128
2,1,2306,2,0,0.1,3,"NZ","Gelding",60,"--",1115,133,2,9,7,7,2,NA,NA,3.25,3.25,2.75,0.1,NA,NA,14.29,22.22,24.8,22.38,NA,NA,83.69,9.2,2.3,9,69
2,2,2650,10,0,3.75,3,"NZ","Gelding",60,"--",1091,126,10,10,12,10,10,NA,NA,3.25,7.25,4.75,3.75,NA,NA,14.29,22.86,24.48,22.67,NA,NA,84.3,99,36,128,128
2,3,803,12,0,4.75,3,"GB","Gelding",60,"--",1000,128,14,13,13,14,12,NA,NA,5,7.5,7.75,4.75,NA,NA,14.57,22.62,24.92,22.34,NA,NA,84.45,81,22,164,57
2,4,4048,6,0,1.75,3,"USA","Brown",60,"--",1106,127,6,2,2,1,6,NA,NA,0.25,1,0.15,1.75,NA,NA,13.81,22.34,24.72,23.11,NA,NA,83.98,3.5,1.5,132,138
2,5,3877,7,0,2.25,3,"NZ","Gelding",60,"--",1031,126,8,3,4,3,7,NA,NA,0.75,1.75,0.75,2.25,NA,NA,13.89,22.38,24.72,23.04,NA,NA,84.03,4.4,1.5,118,2
2,6,2800,8,0,3.5,3,"NZ","Gelding",60,"--",1068,125,3,14,9,11,8,NA,NA,5.25,4.5,5.5,3.5,NA,NA,14.61,22.1,25.04,22.5,NA,NA,84.25,65,23,137,183
2,7,133,11,0,4.25,3,"NZ","Gelding",60,"--",1151,123,12,12,14,13,11,NA,NA,3.75,8.5,7,4.25,NA,NA,14.37,22.98,24.64,22.37,NA,NA,84.36,99,25,75,151
2,8,3305,4,0,1.25,3,"NZ","Gelding",60,"--",1052,125,7,5,6,6,4,NA,NA,1.25,2.75,2,1.25,NA,NA,13.97,22.46,24.76,22.67,NA,NA,83.86,6.7,2,109,145
2,9,2172,9,0,3.5,3,"AUS","Gelding",60,"--",1122,125,9,7,8,9,9,NA,NA,2.5,4,3.5,3.5,NA,NA,14.17,22.46,24.8,22.82,NA,NA,84.25,7.9,3,97,18
2,10,2069,5,0,1.75,3,"AUS","Gelding",60,"--",1016,124,11,11,10,8,5,NA,NA,3.5,5.5,3.25,1.75,NA,NA,14.33,22.54,24.52,22.58,NA,NA,83.97,16,5.2,98,64
2,11,2162,1,1,0,3,"AUS","Gelding",60,"--",1149,122,4,6,5,4,1,NA,NA,1.5,2.5,1.5,0.1,NA,NA,14.01,22.38,24.72,22.58,NA,NA,83.69,7,2.3,7,115
2,12,1095,13,0,6.25,3,"AUS","Gelding",60,"--",1028,116,1,4,3,5,13,NA,NA,1,1.25,2,6.25,NA,NA,13.93,22.26,25,23.47,NA,NA,84.66,45,11,38,154
2,13,2012,3,0,0.25,3,"NZ","Gelding",60,"--",1029,110,13,1,1,2,3,NA,NA,0.25,1,0.15,0.25,NA,NA,13.77,22.22,24.88,22.87,NA,NA,83.74,22,5.9,80,59
2,14,1875,14,0,7.5,3,"AUS","Gelding",60,"--",1157,110,5,8,11,12,14,NA,NA,3.25,6,6.5,7.5,NA,NA,14.29,22.66,24.96,22.98,NA,NA,84.89,99,32,138,149
3,1,2973,5,0,2.25,3,"AUS","Gelding",60,"--",1093,133,3,8,8,5,NA,NA,NA,3.75,4,2.25,NA,NA,NA,24.93,22.51,21.79,NA,NA,NA,69.23,15,4.7,7,115
3,2,485,6,0,2.75,3,"AUS","Gelding",60,"--",1169,132,9,11,9,6,NA,NA,NA,6,4.5,2.75,NA,NA,NA,25.29,22.23,21.82,NA,NA,NA,69.34,11,3.1,97,18
3,3,2723,2,0,1.75,3,"AUS","Gelding",60,"--",1219,131,11,3,2,2,NA,NA,NA,1,0.25,1.75,NA,NA,NA,24.49,22.35,22.32,NA,NA,NA,69.16,8.2,2.4,69,183
3,4,3031,11,0,8.25,3,"NZ","Gelding",60,"--",1182,125,6,5,5,11,NA,NA,NA,2,2.75,8.25,NA,NA,NA,24.65,22.59,22.98,NA,NA,NA,70.22,44,11,138,138
3,5,3872,1,1,0,3,"NZ","Gelding",60,"--",1231,119,4,2,3,1,NA,NA,NA,1,1.5,1.75,NA,NA,NA,24.49,22.55,21.85,NA,NA,NA,68.89,5.2,1.4,118,2
3,6,1398,10,0,5.25,3,"AUS","Gelding",60,"--",1213,119,12,12,12,10,NA,NA,NA,6.75,6.25,5.25,NA,NA,NA,25.41,22.39,21.95,NA,NA,NA,69.75,36,11,137,64
3,7,939,4,0,2.25,3,"NZ","Gelding",60,"--",1137,114,2,6,6,4,NA,NA,NA,2.75,3,2.25,NA,NA,NA,24.77,22.51,21.94,NA,NA,NA,69.22,15,4.5,29,162
3,8,4006,7,0,4.25,3,"USA","Horse",60,"--",1074,115,1,4,4,7,NA,NA,NA,1.5,2.75,4.25,NA,NA,NA,24.57,22.67,22.33,NA,NA,NA,69.57,2.9,1.6,137,69
3,9,3844,9,0,4.75,3,"NZ","Gelding",60,"--",1195,113,8,10,11,9,NA,NA,NA,5.25,4.75,4.75,NA,NA,NA,25.17,22.39,22.11,NA,NA,NA,69.67,15,4.2,38,34
3,10,713,3,0,2,3,"AUS","Gelding",60,"--",1214,114,5,1,1,3,NA,NA,NA,1,0.25,2,NA,NA,NA,24.33,22.47,22.4,NA,NA,NA,69.2,5.1,1.6,29,154
3,11,4056,8,0,4.75,3,"NZ","Gelding",60,"--",1211,110,7,9,10,8,NA,NA,NA,5.25,4.5,4.75,NA,NA,NA,25.17,22.35,22.14,NA,NA,NA,69.66,74,18,75,131
3,12,2002,12,0,10.25,3,"AUS","Gelding",60,"--",1153,111,10,7,7,12,NA,NA,NA,3.5,4,10.25,NA,NA,NA,24.89,22.55,23.08,NA,NA,NA,70.52,68,18,38,151
4,1,82,3,0,0.5,3,"NZ","Gelding",60,"--",1076,133,4,9,9,10,3,NA,NA,3.5,5.75,7.5,0.5,NA,NA,26.01,23.88,23.59,22.46,NA,NA,95.94,5.2,1.7,138,18
4,2,97,1,1,0,3,"AUS","Gelding",60,"--",1044,132,3,10,11,11,1,NA,NA,4,6.25,7.75,0.15,NA,NA,26.09,23.88,23.55,22.32,NA,NA,95.84,3.6,1.5,97,69
4,3,3701,5,0,3.5,3,"NZ","Gelding",60,"--",1065,132,2,6,8,6,5,NA,NA,2.5,5,6.5,3.5,NA,NA,25.85,23.92,23.55,23.08,NA,NA,96.4,8.2,2.5,118,2
4,4,4061,11,0,6.75,3,"NZ","Gelding",60,"--",1161,126,13,4,2,3,11,NA,NA,2,2.25,5,6.75,NA,NA,25.77,23.56,23.75,23.84,NA,NA,96.92,28,8.1,75,162
4,5,887,6,0,4.25,3,"IRE","Gelding",60,"--",1040,128,6,3,3,2,6,NA,NA,1.75,2.5,4.5,4.25,NA,NA,25.73,23.64,23.63,23.51,NA,NA,96.51,33,10,47,183
4,6,134,12,0,8.25,3,"AUS","Gelding",60,"--",1106,120,14,12,10,9,12,NA,NA,4.5,6,7,8.25,NA,NA,26.17,23.76,23.47,23.76,NA,NA,97.16,43,18,55,138
