"race_id","horse_no","horse_id","result","won","lengths_behind","horse_age","horse_country","horse_type","horse_rating","horse_gear","declared_weight","actual_weight","draw","position_sec1","position_sec2","position_sec3","position_sec4","position_sec5","position_sec6","behind_sec1","behind_sec2","behind_sec3","behind_sec4","behind_sec5","behind_sec6","time1","time2","time3","time4","time5","time6","finish_time","win_odds","place_odds","trainer_id","jockey_id"
1000,1,3940,NA,NA,NA,3,"NZ","Gelding",60,"--",1148,133,7,9,6,6,14,NA,NA,2.75,2.75,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,17,38,138
1000,2,474,NA,NA,NA,3,"NZ","Gelding",60,"--",1039,122,4,4,4,4,4,NA,NA,1,1.75,2,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,1.7,47,31
1000,3,3647,NA,NA,NA,3,"NZ","Gelding",60,"--",1064,129,5,5,3,3,12,NA,NA,1.25,1.25,1.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2.8,54,34
1000,4,144,NA,NA,NA,3,"AUS","Gelding",60,"--",1086,131,2,6,8,7,5,NA,NA,2,4.25,3.75,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,1.5,138,57
1000,5,3712,NA,NA,NA,3,"AUS","Gelding",60,"--",1101,128,6,1,2,1,1,NA,NA,0.5,0.15,0.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,2.7,75,131
1000,6,3734,NA,NA,NA,3,"AUS","Gelding",60,"--",1137,130,8,10,9,8,6,NA,NA,2.75,4.25,3.75,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,2.2,29,18
1000,7,1988,NA,NA,NA,3,"AUS","Gelding",60,"--",1063,122,11,3,1,2,2,NA,NA,0.75,0.15,0.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4.3,7,63
1000,8,3247,NA,NA,NA,3,"AUS","Gelding",60,"--",1092,126,10,2,5,5,3,NA,NA,0.5,2.5,2.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,5.7,69,151
1000,9,4320,NA,NA,NA,3,"NZ","Gelding",60,"--",1096,126,13,14,13,13,9,NA,NA,5.25,6.75,6.75,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,5.3,109,145
1000,10,1077,NA,NA,NA,3,"NZ","Gelding",60,"--",1034,123,9,7,7,9,13,NA,NA,2.25,3.5,4.25,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,17,117,38
1000,11,3916,NA,NA,NA,3,"AUS","Gelding",60,"--",1125,124,1,12,11,10,8,NA,NA,3.75,5.5,5.25,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,6.2,128,125
1000,12,768,NA,NA,NA,3,"NZ","Gelding",60,"--",1191,123,3,13,14,14,10,NA,NA,5.25,7.5,7.25,6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,5.4,97,49
1000,13,3164,NA,NA,NA,3,"SAF","Gelding",60,"--",1059,120,14,8,10,11,7,NA,NA,2.75,5,5.25,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,8,55,91
1000,14,498,NA,NA,NA,3,"AUS","Gelding",60,"--",1027,112,12,11,12,12,11,NA,NA,3.75,6.25,6.5,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,17,63,155
